DATA;Inversor_Jet;Nivel_Jet;Valvula_Pressao_Reator;Valvula_Vazao_Soda;Vavula_Temp_TC1_Secagem_2
16/12/22 0:00;100,00;0,00;100,00;48,50;70,70
16/12/22 0:01;100,00;0,00;100,00;48,60;70,70
16/12/22 0:02;100,00;0,00;100,00;48,50;70,40
16/12/22 0:03;100,00;0,00;100,00;48,60;70,10
16/12/22 0:04;100,00;0,00;100,00;48,50;69,90
16/12/22 0:05;100,00;0,00;100,00;48,40;69,70
16/12/22 0:06;100,00;0,00;100,00;48,50;69,60
16/12/22 0:07;100,00;0,00;100,00;48,50;69,40
16/12/22 0:08;100,00;0,00;100,00;48,60;69,30
16/12/22 0:09;100,00;0,00;100,00;48,50;69,10
16/12/22 0:10;100,00;0,00;100,00;48,60;68,90
16/12/22 0:11;100,00;0,00;100,00;48,50;68,20
16/12/22 0:12;100,00;0,00;100,00;48,50;68,60
16/12/22 0:13;100,00;0,00;100,00;48,60;67,80
16/12/22 0:14;100,00;0,00;100,00;48,50;67,90
16/12/22 0:15;100,00;0,00;100,00;48,60;67,60
16/12/22 0:16;100,00;0,00;100,00;48,50;67,20
16/12/22 0:17;100,00;0,00;100,00;48,50;66,60
16/12/22 0:18;100,00;0,00;100,00;48,40;66,60
16/12/22 0:19;100,00;0,00;100,00;48,30;66,40
16/12/22 0:20;100,00;0,00;100,00;48,30;66,60
16/12/22 0:21;100,00;0,00;100,00;48,30;66,80
16/12/22 0:22;100,00;0,00;100,00;48,40;67,50
16/12/22 0:23;100,00;0,00;100,00;48,30;67,90
16/12/22 0:24;100,00;0,00;100,00;48,40;68,50
16/12/22 0:25;100,00;0,00;100,00;48,40;68,80
16/12/22 0:26;100,00;0,00;100,00;48,50;68,80
16/12/22 0:27;100,00;0,00;100,00;48,30;68,80
16/12/22 0:28;100,00;0,00;100,00;48,50;68,70
16/12/22 0:29;100,00;0,00;100,00;48,40;68,60
16/12/22 0:30;100,00;0,00;100,00;48,50;68,30
16/12/22 0:31;100,00;0,00;100,00;48,40;67,60
16/12/22 0:32;100,00;0,00;100,00;48,50;67,40
16/12/22 0:33;100,00;0,00;100,00;48,40;67,10
16/12/22 0:34;100,00;0,00;100,00;48,50;66,50
16/12/22 0:35;100,00;0,00;100,00;48,40;67,00
16/12/22 0:36;100,00;0,00;100,00;48,50;66,80
16/12/22 0:37;100,00;0,00;100,00;48,40;66,40
16/12/22 0:38;100,00;0,00;100,00;48,50;66,60
16/12/22 0:39;100,00;0,00;100,00;48,50;66,50
16/12/22 0:40;100,00;0,00;100,00;48,50;66,00
16/12/22 0:41;100,00;0,00;100,00;48,50;66,20
16/12/22 0:42;100,00;0,00;100,00;48,60;65,90
16/12/22 0:43;100,00;0,00;100,00;48,60;65,50
16/12/22 0:44;100,00;0,00;100,00;48,60;65,20
16/12/22 0:45;100,00;0,00;100,00;48,50;64,70
16/12/22 0:46;100,00;0,00;100,00;48,50;64,40
16/12/22 0:47;100,00;0,00;100,00;48,50;64,20
16/12/22 0:48;100,00;0,00;100,00;48,50;64,00
16/12/22 0:49;100,00;0,00;100,00;48,40;63,90
16/12/22 0:50;100,00;0,00;100,00;48,50;63,80
16/12/22 0:51;100,00;0,00;100,00;48,40;63,60
16/12/22 0:52;100,00;0,00;100,00;48,60;63,40
16/12/22 0:53;100,00;0,00;100,00;48,50;63,20
16/12/22 0:54;100,00;0,00;100,00;48,50;62,80
16/12/22 0:55;100,00;0,00;100,00;48,30;62,50
16/12/22 0:56;100,00;0,00;100,00;48,40;62,20
16/12/22 0:57;100,00;0,00;100,00;48,30;62,00
16/12/22 0:58;100,00;0,00;100,00;48,30;61,80
16/12/22 0:59;100,00;0,00;100,00;48,30;61,70
16/12/22 1:00;100,00;0,00;100,00;48,30;61,60
16/12/22 1:01;100,00;0,00;100,00;48,40;61,70
16/12/22 1:02;100,00;0,00;100,00;48,30;61,70
16/12/22 1:03;100,00;0,00;100,00;48,40;61,70
16/12/22 1:04;100,00;0,00;100,00;48,50;61,70
16/12/22 1:05;100,00;0,00;100,00;48,40;61,70
16/12/22 1:06;100,00;0,00;100,00;48,30;61,70
16/12/22 1:07;100,00;0,00;100,00;48,30;61,50
16/12/22 1:08;100,00;0,00;100,00;48,30;61,30
16/12/22 1:09;100,00;0,00;100,00;48,30;61,30
16/12/22 1:10;100,00;0,00;100,00;48,20;61,30
16/12/22 1:11;100,00;0,00;100,00;48,20;61,20
16/12/22 1:12;100,00;0,00;100,00;48,50;61,20
16/12/22 1:13;100,00;0,00;100,00;48,50;61,30
16/12/22 1:14;100,00;0,00;100,00;48,70;61,40
16/12/22 1:15;100,00;0,00;100,00;48,80;61,60
16/12/22 1:16;100,00;0,00;100,00;48,80;61,70
16/12/22 1:17;100,00;0,00;100,00;48,80;61,90
