DATA,Volume_Tq_Sebo_1_em_kg,Nivel_Tanque_Sebo_1,Temperatura_Tanque_de_Sebo_1,Volume_Tq_Sebo_2_em_kg,Nivel_Tanque_Sebo_2,Temperatura_Tanque_de_Sebo_2,Volume_Tq_Sebo_3_em_kg,Nivel_Tanque_Oleos,Temperatura_Tanque_de_Sebo_3,Volume_Tq_Sebo_4_em_kg,Nivel_Tanque_Sebo_4,Temperatura_Tanque_de_Sebo_4,Volume_Tq_Sebo_5_em_kg,Nivel_Tanque_Sebo_5,Temperatura_Tanque_de_Sebo_5,Temperatura_Tanque_de_Babacu,Nivel_Tanque_Babacu,Nivel_Tanque_Gordura_2,Nivel_Tanque_Gordura_1,Vazao_de_Gordura,Vazao_de_Lixivia_p/_Saponificacao,Vazao_de_Soda,Nivel_Tanque_Lixivia,Nivel_Tanque_Soda_Saboaria,Temperatura_Jet,Nivel_Jet,Pressao_Bomba_Jet,Pressao_Reator,Temperatura_Topo_Reator,Temperatura_Meio_Reator,Nivel_Tanque_Babacu,Temperatura_Tanque_de_Sabao_Base,Nivel_Tanque_Sabao_Base,Vazao_de_Sabao_Base,Temperatura_TC_Sabao_Base,Vacuo_Coluna_Barometrica_Secador,Pressao_Bomba_Sabao_Base,Temperatura_TC1_Secagem_2,Temperatura_TC2_Secagem_2,Vacuo_Coluna_Barometrica_Secador_2
01/08/23 00:00:00,197250,"54,0","49,0",234800,"64,4","37,0",88450,"21,7","49,9",1500,"2,0","27,7",31850,"9,3","100,0","0,0","26,5","76,3","72,7",1804,   1, 553,"60,6","94,9","28,5","0,5","0,0","0,8","28,5","28,4","26,5","59,7","100,0",   0,"43,0",  79,"6,2","155,4","149,7",1520
01/08/23 00:01:00,197250,"54,0","48,9",234850,"64,5","37,1",88800,"21,8","49,9",1500,"2,0","27,5",31750,"9,3","100,0","0,0","26,5","76,3","72,7",1795,   1, 557,"60,6","94,9","28,6","0,4","0,0","0,8","28,6","28,3","26,5","59,8","100,0",   0,"43,1",  79,"1,0","154,7","150,0",1520
01/08/23 00:02:00,197300,"54,0","48,9",234800,"64,4","37,1",89150,"21,9","50,5",1400,"1,9","27,5",31850,"9,3","100,0","0,0","26,5","76,3","72,7",1794,   1, 555,"60,6","94,9","28,6","0,4","0,0","0,8","28,4","28,3","26,5","59,8","100,0",   0,"43,0", 103,"1,1","154,6","151,2",1520
01/08/23 00:03:00,197300,"54,0","48,9",234800,"64,4","37,1",88800,"21,8","49,9",1500,"2,0","27,5",31850,"9,3","100,0","0,0","26,5","76,3","72,7",1814,   1, 550,"60,6","94,9","29,0","0,4","0,0","0,8","28,4","28,4","26,5","59,7","100,0",   0,"43,1", 653,"1,1","148,2","147,5",1520
01/08/23 00:04:00,197300,"54,0","48,9",234850,"64,4","37,2",88500,"21,8","49,9",1500,"2,0","27,5",31800,"9,3","100,0","0,0","26,5","76,3","72,7",1792,   1, 552,"60,6","94,9","28,4","0,4","0,0","0,8","28,4","28,3","26,5","59,7","100,0",   0,"43,0", 736,"1,1","151,3","148,1",1520
01/08/23 00:05:00,197250,"54,0","48,9",234850,"64,4","37,1",88400,"21,7","49,9",1400,"1,9","27,6",31750,"9,3","100,0","0,0","26,6","76,3","72,7",1803,   1, 559,"60,6","94,9","28,3","0,4","0,0","0,8","28,5","28,4","26,6","59,7","100,0",   0,"43,2", 735,"1,1","155,3","150,8",1520
01/08/23 00:06:00,197250,"54,0","49,0",234850,"64,4","37,2",89000,"21,9","49,9",1550,"2,0","27,3",31850,"9,3","100,0","0,0","26,5","76,3","72,7",1817,   1, 557,"60,6","94,9","28,3","0,4","0,0","0,8","28,4","28,3","26,5","59,7","100,0",   0,"43,3", 730,"1,7","157,1","152,8",1520
01/08/23 00:07:00,197300,"54,0","48,9",234850,"64,4","37,2",90250,"22,1","49,8",1400,"1,9","27,4",31850,"9,3","100,0","0,0","26,5","76,3","72,7",1801,   1, 546,"60,6","94,9","28,5","0,4","0,0","0,8","28,5","28,3","26,5","59,7","100,0",   0,"43,4", 729,"2,0","154,8","152,4",1520
01/08/23 00:08:00,197250,"54,0","48,9",234850,"64,5","37,1",90350,"22,2","49,8",1600,"2,1","27,5",31800,"9,3","100,0","0,0","26,5","76,3","72,7",1784,   1, 552,"60,6","94,9","28,3","0,4","0,0","0,8","28,6","28,3","26,5","59,8","100,0",   0,"43,5", 727,"1,2","152,4","149,2",1520
01/08/23 00:09:00,197250,"54,0","48,9",234850,"64,5","37,1",89750,"22,0","49,7",1650,"2,0","27,4",31800,"9,3","100,0","0,0","26,5","76,3","72,7",1794,   1, 556,"60,6","94,9","28,2","0,4","0,0","0,8","28,4","28,3","26,5","59,8","100,0",   0,"43,6", 728,"1,1","150,0","145,1",1520
